Id,SalePrice
1461,119206.315579
1462,157518.897041
1463,189813.049
1464,200857.824056
1465,203099.118284
1466,176704.846981
1467,173405.850417
1468,173527.42442
1469,190787.426238
1470,133418.868305
1471,182485.409151
1472,101090.100045
1473,104888.517518
1474,143915.614859
1475,108754.653514
1476,378752.684664
1477,270782.815102
1478,309869.915554
1479,299246.259507
1480,440328.876356
1481,314036.140657
1482,218426.892352
1483,174552.28555
1484,169581.801175
1485,195769.933417
1486,198828.845793
1487,331386.020123
1488,236829.905427
1489,217181.437923
1490,238339.32836
1491,196791.156887
1492,91891.1621459
1493,201023.182545
1494,313110.200008
1495,292068.276452
1496,232352.147004
1497,168831.965642
1498,173652.53812
1499,171859.804337
1500,173258.454428
1501,189737.241941
1502,163488.394942
1503,301779.204116
1504,237541.470258
1505,218597.910052
1506,189860.251453
1507,240921.317403
1508,208283.664511
1509,148647.462519
1510,154678.29021
1511,147319.042836
1512,171626.417122
1513,130106.745706
1514,154710.037587
1515,191070.289336
1516,147809.132968
1517,167689.840743
1518,128575.365182
1519,209511.283696
1520,136492.108682
1521,134966.780924
1522,184568.224247
1523,108288.352127
1524,113325.346071
1525,117055.645386
1526,113517.099873
1527,113799.887905
1528,117795.035196
1529,150062.526905
1530,200688.754847
1531,157851.859362
1532,101250.259864
1533,145710.786297
1534,123561.083396
1535,142476.727519
1536,103098.607711
1537,76959.8937234
1538,171322.387026
1539,209847.095078
1540,101198.755404
1541,138807.29836
1542,133194.647685
1543,169926.584801
1544,85115.7263014
1545,121319.116194
1546,146574.1953
1547,141289.44193
1548,124358.726381
1549,124957.216805
1550,155444.318322
1551,110781.146036
1552,152418.951653
1553,147282.735685
1554,119483.302543
1555,170522.45509
1556,88224.481351
1557,95747.3763453
1558,107132.058524
1559,97185.0925891
1560,127886.141153
1561,117858.34384
1562,139288.816285
1563,131187.604081
1564,168572.89206
1565,172034.655147
1566,235140.715899
1567,78085.6512754
1568,245922.178909
1569,171025.538644
1570,146979.727758
1571,110110.326826
1572,139578.418491
1573,276810.19817
1574,120918.083863
1575,245994.048765
1576,240608.045835
1577,211410.309526
1578,141126.85528
1579,157840.526927
1580,191008.564505
1581,166906.979453
1582,125680.065741
1583,281219.151259
1584,226331.42807
1585,154060.851535
1586,66161.7892859
1587,107191.768974
1588,158164.758381
1589,98007.0151826
1590,125041.372238
1591,98035.3725307
1592,125272.115014
1593,134925.805796
1594,141668.835948
1595,125045.813577
1596,227478.926457
1597,182124.981654
1598,196573.117286
1599,187696.220729
1600,176558.382047
1601,68948.6644813
1602,122634.859293
1603,77586.7131915
1604,273694.276062
1605,241667.173301
1606,152109.365152
1607,158530.235554
1608,229167.615299
1609,200105.515169
1610,161825.745487
1611,141970.804981
1612,185487.810274
1613,173673.68301
1614,147470.400089
1615,98918.9001767
1616,78467.7842907
1617,95359.6858092
1618,121009.814802
1619,148546.054324
1620,146796.798954
1621,141171.209092
1622,145365.340253
1623,261616.180091
1624,222735.99126
1625,113098.863203
1626,184262.461296
1627,193706.249197
1628,277950.572878
1629,176446.08185
1630,299081.385261
1631,229158.854106
1632,231814.686719
1633,181341.55026
1634,195497.023902
1635,188037.293965
1636,159666.203729
1637,185860.008839
1638,188614.407094
1639,176912.876616
1640,228484.179229
1641,176390.560548
1642,256800.595596
1643,215769.812649
1644,228484.820068
1645,207340.162424
1646,167370.167603
1647,152435.566136
1648,131951.359904
